"11990","Burning Phone Camp","4:30 Plaza at 5:00"
"11992","Papa Legba","Hominid & 4:30"
"11993","Sore Nipple Camp","Fossil & 4:30"
"11998","PRESERVED IN TIME","within Barbie Death Village"
"12001","Barbie Death Village","DNA & 3:30"
"12014","Playawastes Raider Camp","within Terminal City"
"12021","Club Verboten","4:30 & Extinct"
"12031","Church of Respect","3:00 & Fossil"
"12033","FALLOUT SHELTER","4:30 Plaza at 8:00"
"12035","CAMP KLEPTO","3:00 & DNA"
"12038","Pro Leisure Tour","4:30 Plaza at 1:00"
"12039","True Mirror Palace","within NYrvana"
"12046","evoLLLution: the Lively Loving Lot","Chaos & 9:00"
"12049","Dusty Dice","Fossil & 7:30"
"12050","S'mores n Amour","Biology & 3:00"
"12052","The Bush","10:00 & Jurassic"
"12055","Terminal City","Adapt & 3:00"
"12059","Camp Natural Selection","Fossil & 7:30"
"12060","From Silks to Medicine Sticks","within Alternative Energy Zone"
"12061","Flattery Camp","Extinct & 3:00"
"12065","STAMP CAMP","Genome & 3:00"
"12068","Back To Heaven","Esplanade & 9:30"
"12069","Anonymous Village","6:00 & Fossil"
"12070","Boosh Camp:Canadian Splinter Squad","within Barbie Death Village"
"12073","Rue Morgue","9:00 Plaza at 8:30"
"12085","Free Photography Zone","3:00 Plaza at 7:00"
"12086","B-man Button Camp","Extinct & 9:00"
"12088","KidsVille","5:30 & DNA"
"12090","Hokey Pokey Camp Man or Monkey","3:00 Portal"
"12093","Sweaty Betty's Misting Parlor","Extinct & 7:30"
"12099","Moonbow Camp","Biology & 3:00"
"12105","IncendiaryIntent","Adapt & 4:00"
"12106","Fantasy Funhouse & Wheel of Karma","Adapt & 8:30"
"12107","SPIN ART CAMP","4:30 & Chaos"
"12108","Decadent Oasis ","Biology & 4:30"
"12113","Deviant Playground","Adapt & 4:30"
"12115","Dr Le Tawdry","Biology & 7:30"
"12116","Zookeeprz Camp","10:00 & Fossil"
"12122","Pan's Garden","Evolution at 4:15"
"12123","Purple Palace Camp","10:00 & Adapt"
"12124","Knarly Carnival","Fossil & 7:30"
"12125","RockStar Orphans","7:30 plaza at 7:30"
"12127","Empress Rosa's Wedding Palace","within Terminal City"
"12129","Twilight Spaghetti Theatre","Esplanade & 8:30"
"12130","Metamorph","Adapt & 3:00"
"12131","Cock 'n Waffle","Adapt & 8:00"
"12133","Journey's","Evolution at 2:30"
"12137","Kamp Kammaniwannalaya","Genome & 3:00"
"12139","Suspended Animation","Biology & 7:30"
"12141","Spanky's Village","Esplanade & 8:30"
"12144","Cult of Levitating Plywood","within Alternative Energy Zone"
"12152","Camp Welcome","Evolution at 2:45"
"12155","The Tittyman Camp","Fossil & 4:30"
"12159","Radio Electra 89.9 FM","Esplanade & 7:00"
"12161","7 Sins Lounge","9:00 Plaza at 11:30"
"12162","Furniture Car Rally Camp","Hominid & 3:00"
"12163","Black Rock City Body & Paint","within Barbie Death Village"
"12164","Camp of the Living Dead","Fossil & 3:30"
"12165","Bioluminati","Evolution at 3:00"
"12166","Pee Funnel Camp","Adapt & 3:00"
"12169","PolyParadise","Chaos & 4:30"
"12170","Biscuit","within Illumination"
"12173","Tarwater","Hominid & 7:30"
"12180","The Booby Bar","within Terminal City"
"12183","The Liquid Latex Lounge","Adapt & 3:00"
"12184","Barbarian Camp","3:00 & Fossil"
"12185","Whisky and Dust @ Mile High Club","DNA &  7:30"
"12190","Alternative Energy Zone Village","DNA &  6:30"
"12191","RevoFuckinLution","9:00 Portal"
"12192","Contraptionists","7:30 & DNA"
"12195","Carbon Dioxide Camp","Adapt & 4:30"
"12198","God Box","4:30 & Extinct"
"12202","Zondernaam","DNA & 5:30"
"12208","Outpost23","DNA & 7:30"
"12210","sober Free society","Genome & 7:30"
"12212","Camp Mystic","within Spanky's Village"
"12213","The Treehouse","Genome & 7:30"
"12217","Arachnophobia","Center Camp at 3:15"
"12229","Storm Pilots","Hominid & 7:30"
"12230","Spearmint Dino Bar","Adapt & 7:30"
"12232","Conscious Monkey Clan","Fossil & 3:00"
"12241","Art Car Camp","Evolution at 4:30"
"12243","Freedom lounge","Hominid & 9:00"
"12249","Academy of Fools","Esplanade & 6:30"
"12250","Black Rock Roller Disco","Evolution at 7:15"
"12251","Northwest Mist","within Redirection Connection"
"12252","Ganesh's Transmutation Station","3:00 & DNA"
"12254","Elk Lodge: Flora & Fauna","Extinct & 4:30"
"12255","Heaven's Ghetto","7:30 Portal "
"12256","camp be seen","Chaos & 9:00"
"12258","""R&R"" with Divas on the Playa ","Fossil & 4:30"
"12261","ROBOTRONIA","3:00 Plaza at 2:00"
"12262","People's Art Congress (PAC)","3:00 Portal"
"12267","SuperMonkeys","Fossil & 9:00"
"12268","Black Rock Lemonade","9:00 & Genome"
"12269","Tequila Shack","Hominid & 9:00"
"12271","Cool Aid Oasis","9:00 Plaza at 4:30"
"12272","Funky Town","10:00 & Genome"
